id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_cost_per_unit,recorded_payment_method,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,invoice,risk_issues
Interest20240110010,Interest Receivables,2024-01-10,262.74,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 10, 2024, an invoice was issued for a Interest Receivables, totaling $262.74. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240111041,Sale,2024-01-11,6831.16,,,Paid,2000.0,,,,R002,Business Room,2.0,3415.58,Cash,C008,341.56,6489.6,4000.0,2831.16,"On January 11, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $3415.58, totaling $6831.16. The cost amount for this transaction was $4000.00, with a tax amount of $341.56, leading to a total amount due of $6489.60. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231018,Purchase,2023-12-31,30300.0,Director,Supervisor,Unpaid,150.0,Account Payable,S009,Supplier 9,F001,Quick Meal Set,202.0,150.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 202.0 units at a unit price of $150.00, totaling $30300.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S009, and the supplier name is Supplier 9.",
Expense20240111001,Sales Expenses,2024-01-11,950.15,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 11, 2024, an invoice was issued for a Sales Expenses, totaling $950.15. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240111011,Interest Receivables,2024-01-11,262.74,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 11, 2024, an invoice was issued for a Interest Receivables, totaling $262.74. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240112043,Sale,2024-01-12,7691.16,,,Unpaid,1500.0,,,,R001,Standard Room,3.0,2563.72,Account Receviable,C011,384.56,7306.6,4500.0,3191.16,"On January 12, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $2563.72, totaling $7691.16. The cost amount for this transaction was $4500.00, with a tax amount of $384.56, leading to a total amount due of $7306.60. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240112044,Sale,2024-01-12,943.16,,,Paid,350.0,,,,F002,Business Meal Set,2.0,471.58,Cash,C006,47.16,896.0,700.0,243.16,"On January 12, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $471.58, totaling $943.16. The cost amount for this transaction was $700.00, with a tax amount of $47.16, leading to a total amount due of $896.00. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240112045,Sale,2024-01-12,4359.1,,,Paid,1500.0,,,,R001,Standard Room,2.0,2179.55,Cash,C010,217.96,4141.14,3000.0,1359.1,"On January 12, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $2179.55, totaling $4359.10. The cost amount for this transaction was $3000.00, with a tax amount of $217.96, leading to a total amount due of $4141.14. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240112046,Sale,2024-01-12,8782.89,,,Paid,2000.0,,,,R002,Business Room,3.0,2927.63,Cash,C013,439.14,8343.75,6000.0,2782.89,"On January 12, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $2927.63, totaling $8782.89. The cost amount for this transaction was $6000.00, with a tax amount of $439.14, leading to a total amount due of $8343.75. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240112001,Sales Expenses,2024-01-12,400.21,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 12, 2024, an invoice was issued for a Sales Expenses, totaling $400.21. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240112001,Administrative Expenses,2024-01-12,631.59,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 12, 2024, an invoice was issued for a Administrative Expenses, totaling $631.59. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240112012,Interest Receivables,2024-01-12,262.74,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 12, 2024, an invoice was issued for a Interest Receivables, totaling $262.74. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240113048,Sale,2024-01-13,4757.44,,,Unpaid,880.0,,,,F003,Deluxe Meal Set,4.0,1189.36,Account Receviable,C016,237.87,4519.57,3520.0,1237.44,"On January 13, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $1189.36, totaling $4757.44. The cost amount for this transaction was $3520.00, with a tax amount of $237.87, leading to a total amount due of $4519.57. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240113049,Sale,2024-01-13,13086.9,,,Paid,1500.0,,,,R001,Standard Room,5.0,2617.38,Cash,C020,654.35,12432.55,7500.0,5586.9,"On January 13, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $2617.38, totaling $13086.90. The cost amount for this transaction was $7500.00, with a tax amount of $654.35, leading to a total amount due of $12432.55. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240113001,Administrative Expenses,2024-01-13,846.84,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 13, 2024, an invoice was issued for a Administrative Expenses, totaling $846.84. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240113013,Interest Receivables,2024-01-13,262.74,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 13, 2024, an invoice was issued for a Interest Receivables, totaling $262.74. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240114050,Sale,2024-01-14,5207.72,,,Unpaid,1500.0,,,,R001,Standard Room,2.0,2603.86,Account Receviable,C012,260.39,4947.33,3000.0,2207.72,"On January 14, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $2603.86, totaling $5207.72. The cost amount for this transaction was $3000.00, with a tax amount of $260.39, leading to a total amount due of $4947.33. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240114051,Sale,2024-01-14,5056.24,,,Paid,880.0,,,,F003,Deluxe Meal Set,4.0,1264.06,Cash,C015,252.81,4803.43,3520.0,1536.24,"On January 14, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $1264.06, totaling $5056.24. The cost amount for this transaction was $3520.00, with a tax amount of $252.81, leading to a total amount due of $4803.43. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240114052,Sale,2024-01-14,3220.03,,,Unpaid,2000.0,,,,R002,Business Room,1.0,3220.03,Account Receviable,C009,161.0,3059.03,2000.0,1220.03,"On January 14, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $3220.03, totaling $3220.03. The cost amount for this transaction was $2000.00, with a tax amount of $161.00, leading to a total amount due of $3059.03. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240114053,Sale,2024-01-14,220.09,,,Unpaid,150.0,,,,F001,Quick Meal Set,1.0,220.09,Account Receviable,C009,11.0,209.09,150.0,70.09,"On January 14, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $220.09, totaling $220.09. The cost amount for this transaction was $150.00, with a tax amount of $11.00, leading to a total amount due of $209.09. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240114001,Sales Expenses,2024-01-14,609.3,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 14, 2024, an invoice was issued for a Sales Expenses, totaling $609.30. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240114014,Interest Receivables,2024-01-14,262.74,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 14, 2024, an invoice was issued for a Interest Receivables, totaling $262.74. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240115055,Sale,2024-01-15,26345.16,,,Paid,5000.0,,,,R003,Luxury Suite,3.0,8781.72,Cash,C016,1317.26,25027.9,15000.0,11345.16,"On January 15, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $8781.72, totaling $26345.16. The cost amount for this transaction was $15000.00, with a tax amount of $1317.26, leading to a total amount due of $25027.90. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240115056,Sale,2024-01-15,5850.38,,,Paid,2000.0,,,,R002,Business Room,2.0,2925.19,Cash,C012,292.52,5557.86,4000.0,1850.38,"On January 15, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $2925.19, totaling $5850.38. The cost amount for this transaction was $4000.00, with a tax amount of $292.52, leading to a total amount due of $5557.86. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240115001,Administrative Expenses,2024-01-15,771.36,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 15, 2024, an invoice was issued for a Administrative Expenses, totaling $771.36. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240115015,Interest Receivables,2024-01-15,262.74,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 15, 2024, an invoice was issued for a Interest Receivables, totaling $262.74. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240116057,Sale,2024-01-16,6335.66,,,Unpaid,2000.0,,,,R002,Business Room,2.0,3167.83,Account Receviable,C012,316.78,6018.88,4000.0,2335.66,"On January 16, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $3167.83, totaling $6335.66. The cost amount for this transaction was $4000.00, with a tax amount of $316.78, leading to a total amount due of $6018.88. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240116058,Sale,2024-01-16,1987.46,,,Paid,1500.0,,,,R001,Standard Room,1.0,1987.46,Cash,C010,99.37,1888.09,1500.0,487.46,"On January 16, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $1987.46, totaling $1987.46. The cost amount for this transaction was $1500.00, with a tax amount of $99.37, leading to a total amount due of $1888.09. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240116059,Sale,2024-01-16,6082.02,,,Unpaid,1500.0,,,,R001,Standard Room,3.0,2027.34,Account Receviable,C002,304.1,5777.92,4500.0,1582.02,"On January 16, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $2027.34, totaling $6082.02. The cost amount for this transaction was $4500.00, with a tax amount of $304.10, leading to a total amount due of $5777.92. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240116060,Sale,2024-01-16,4459.59,,,Unpaid,880.0,,,,F003,Deluxe Meal Set,3.0,1486.53,Account Receviable,C005,222.98,4236.61,2640.0,1819.59,"On January 16, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $1486.53, totaling $4459.59. The cost amount for this transaction was $2640.00, with a tax amount of $222.98, leading to a total amount due of $4236.61. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240116001,Administrative Expenses,2024-01-16,252.96,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 16, 2024, an invoice was issued for a Administrative Expenses, totaling $252.96. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240116016,Interest Receivables,2024-01-16,262.74,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 16, 2024, an invoice was issued for a Interest Receivables, totaling $262.74. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240117061,Sale,2024-01-17,7204.15,,,Paid,5000.0,,,,R003,Luxury Suite,1.0,7204.15,Cash,C009,360.21,6843.94,5000.0,2204.15,"On January 17, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $7204.15, totaling $7204.15. The cost amount for this transaction was $5000.00, with a tax amount of $360.21, leading to a total amount due of $6843.94. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240117062,Sale,2024-01-17,3540.15,,,Paid,880.0,,,,F003,Deluxe Meal Set,3.0,1180.05,Cash,C013,177.01,3363.14,2640.0,900.15,"On January 17, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $1180.05, totaling $3540.15. The cost amount for this transaction was $2640.00, with a tax amount of $177.01, leading to a total amount due of $3363.14. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240117063,Sale,2024-01-17,8792.73,,,Paid,2000.0,,,,R002,Business Room,3.0,2930.91,Cash,C016,439.64,8353.09,6000.0,2792.73,"On January 17, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $2930.91, totaling $8792.73. The cost amount for this transaction was $6000.00, with a tax amount of $439.64, leading to a total amount due of $8353.09. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240117064,Sale,2024-01-17,706.59,,,Paid,150.0,,,,F001,Quick Meal Set,3.0,235.53,Cash,C014,35.33,671.26,450.0,256.59,"On January 17, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $235.53, totaling $706.59. The cost amount for this transaction was $450.00, with a tax amount of $35.33, leading to a total amount due of $671.26. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240117001,Administrative Expenses,2024-01-17,589.17,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 17, 2024, an invoice was issued for a Administrative Expenses, totaling $589.17. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240117017,Interest Receivables,2024-01-17,262.74,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 17, 2024, an invoice was issued for a Interest Receivables, totaling $262.74. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240118065,Sale,2024-01-18,2604.73,,,Unpaid,2000.0,,,,R002,Business Room,1.0,2604.73,Account Receviable,C009,130.24,2474.49,2000.0,604.73,"On January 18, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $2604.73, totaling $2604.73. The cost amount for this transaction was $2000.00, with a tax amount of $130.24, leading to a total amount due of $2474.49. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240118001,Sales Expenses,2024-01-18,495.8,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 18, 2024, an invoice was issued for a Sales Expenses, totaling $495.80. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240118001,Administrative Expenses,2024-01-18,273.94,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 18, 2024, an invoice was issued for a Administrative Expenses, totaling $273.94. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240118018,Interest Receivables,2024-01-18,262.74,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 18, 2024, an invoice was issued for a Interest Receivables, totaling $262.74. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240119067,Sale,2024-01-19,730.29,,,Paid,150.0,,,,F001,Quick Meal Set,3.0,243.43,Cash,C018,36.51,693.78,450.0,280.29,"On January 19, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $243.43, totaling $730.29. The cost amount for this transaction was $450.00, with a tax amount of $36.51, leading to a total amount due of $693.78. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240119068,Sale,2024-01-19,16385.95,,,Paid,2000.0,,,,R002,Business Room,5.0,3277.19,Cash,C010,819.3,15566.65,10000.0,6385.95,"On January 19, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $3277.19, totaling $16385.95. The cost amount for this transaction was $10000.00, with a tax amount of $819.30, leading to a total amount due of $15566.65. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240119001,Administrative Expenses,2024-01-19,472.82,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 19, 2024, an invoice was issued for a Administrative Expenses, totaling $472.82. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240119019,Interest Receivables,2024-01-19,262.74,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 19, 2024, an invoice was issued for a Interest Receivables, totaling $262.74. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240120069,Sale,2024-01-20,12742.96,,,Paid,2000.0,,,,R002,Business Room,4.0,3185.74,Cash,C015,637.15,12105.81,8000.0,4742.96,"On January 20, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $3185.74, totaling $12742.96. The cost amount for this transaction was $8000.00, with a tax amount of $637.15, leading to a total amount due of $12105.81. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240120001,Financial Expenses,2024-01-20,156.67,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 20, 2024, an invoice was issued for a Financial Expenses, totaling $156.67. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240120001,Administrative Expenses,2024-01-20,750.83,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 20, 2024, an invoice was issued for a Administrative Expenses, totaling $750.83. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240120020,Interest Receivables,2024-01-20,262.74,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 20, 2024, an invoice was issued for a Interest Receivables, totaling $262.74. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240121070,Sale,2024-01-21,768.63,,,Paid,150.0,,,,F001,Quick Meal Set,3.0,256.21,Cash,C001,38.43,730.2,450.0,318.63,"On January 21, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $256.21, totaling $768.63. The cost amount for this transaction was $450.00, with a tax amount of $38.43, leading to a total amount due of $730.20. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240121071,Sale,2024-01-21,6973.48,,,Paid,2000.0,,,,R002,Business Room,2.0,3486.74,Cash,C017,348.67,6624.81,4000.0,2973.48,"On January 21, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $3486.74, totaling $6973.48. The cost amount for this transaction was $4000.00, with a tax amount of $348.67, leading to a total amount due of $6624.81. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240121001,Administrative Expenses,2024-01-21,151.61,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 21, 2024, an invoice was issued for a Administrative Expenses, totaling $151.61. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240121021,Interest Receivables,2024-01-21,262.74,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 21, 2024, an invoice was issued for a Interest Receivables, totaling $262.74. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240122072,Sale,2024-01-22,2848.2,,,Unpaid,880.0,,,,F003,Deluxe Meal Set,2.0,1424.1,Account Receviable,C008,142.41,2705.79,1760.0,1088.2,"On January 22, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $1424.10, totaling $2848.20. The cost amount for this transaction was $1760.00, with a tax amount of $142.41, leading to a total amount due of $2705.79. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240122073,Sale,2024-01-22,14061.84,,,Unpaid,5000.0,,,,R003,Luxury Suite,2.0,7030.92,Account Receviable,C020,703.09,13358.75,10000.0,4061.84,"On January 22, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $7030.92, totaling $14061.84. The cost amount for this transaction was $10000.00, with a tax amount of $703.09, leading to a total amount due of $13358.75. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240122074,Sale,2024-01-22,2593.2,,,Paid,880.0,,,,F003,Deluxe Meal Set,2.0,1296.6,Cash,C013,129.66,2463.54,1760.0,833.2,"On January 22, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $1296.60, totaling $2593.20. The cost amount for this transaction was $1760.00, with a tax amount of $129.66, leading to a total amount due of $2463.54. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240122001,Administrative Expenses,2024-01-22,320.56,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 22, 2024, an invoice was issued for a Administrative Expenses, totaling $320.56. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240122001,Sales Expenses,2024-01-22,397.63,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 22, 2024, an invoice was issued for a Sales Expenses, totaling $397.63. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240122022,Interest Receivables,2024-01-22,262.74,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 22, 2024, an invoice was issued for a Interest Receivables, totaling $262.74. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240123076,Sale,2024-01-23,3958.42,,,Paid,1500.0,,,,R001,Standard Room,2.0,1979.21,Cash,C014,197.92,3760.5,3000.0,958.42,"On January 23, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $1979.21, totaling $3958.42. The cost amount for this transaction was $3000.00, with a tax amount of $197.92, leading to a total amount due of $3760.50. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240123077,Sale,2024-01-23,1244.65,,,Paid,150.0,,,,F001,Quick Meal Set,5.0,248.93,Cash,C004,62.23,1182.42,750.0,494.65,"On January 23, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $248.93, totaling $1244.65. The cost amount for this transaction was $750.00, with a tax amount of $62.23, leading to a total amount due of $1182.42. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240123001,Sales Expenses,2024-01-23,128.65,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 23, 2024, an invoice was issued for a Sales Expenses, totaling $128.65. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240123001,Administrative Expenses,2024-01-23,987.99,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 23, 2024, an invoice was issued for a Administrative Expenses, totaling $987.99. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240123023,Interest Receivables,2024-01-23,262.74,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 23, 2024, an invoice was issued for a Interest Receivables, totaling $262.74. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240124079,Sale,2024-01-24,210.02,,,Paid,150.0,,,,F001,Quick Meal Set,1.0,210.02,Cash,C011,10.5,199.52,150.0,60.02,"On January 24, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $210.02, totaling $210.02. The cost amount for this transaction was $150.00, with a tax amount of $10.50, leading to a total amount due of $199.52. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240124080,Depreciation,2024-01-24,1310.0,,,Paid,150.0,,,,F001,Quick Meal Set,5.0,262.0,Account Receivable,C013,65.5,1244.5,750.0,560.0,"On January 24, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $262.00, totaling $1310.00. The cost amount for this transaction was $750.00, with a tax amount of $65.50, leading to a total amount due of $1244.50. The receive_method of this transaction was cash, and this transaction was paid.","[{'Original receive_method': 'Cash', 'Recorded receive_method': 'Account Receivable', 'id': 'Sale20240124080'}, {'Original category': 'Sale', 'Recorded category': 'Depreciation', 'id': 'Sale20240124080'}]"
Purchase20231231019,Purchase,2023-12-31,400320.0,Director,Supervisor,Unpaid,2880.0,Account Payable,S008,Supplier 8,F004,Banquet Set,139.0,2880.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 139.0 units at a unit price of $2880.00, totaling $400320.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S008, and the supplier name is Supplier 8.",
Purchase20231231020,Purchase,2023-12-31,616320.0,Director,Supervisor,Unpaid,2880.0,Account Payable,S010,Supplier 10,F004,Banquet Set,214.0,2880.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 214.0 units at a unit price of $2880.00, totaling $616320.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S010, and the supplier name is Supplier 10.",
Expense20240124001,Administrative Expenses,2024-01-24,405.22,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 24, 2024, an invoice was issued for a Administrative Expenses, totaling $405.22. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240124024,Interest Receivables,2024-01-24,262.74,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 24, 2024, an invoice was issued for a Interest Receivables, totaling $262.74. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240125081,Sale,2024-01-25,3928.66,,,Unpaid,2880.0,,,,F004,Banquet Set,1.0,3928.66,Account Receviable,C018,196.43,3732.23,2880.0,1048.66,"On January 25, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $3928.66, totaling $3928.66. The cost amount for this transaction was $2880.00, with a tax amount of $196.43, leading to a total amount due of $3732.23. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240125082,Sale,2024-01-25,2542.44,,,Paid,1500.0,,,,R001,Standard Room,1.0,2542.44,Cash,C004,127.12,2415.32,1500.0,1042.44,"On January 25, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $2542.44, totaling $2542.44. The cost amount for this transaction was $1500.00, with a tax amount of $127.12, leading to a total amount due of $2415.32. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240125083,Sale,2024-01-25,997.55,,,Paid,150.0,,,,F001,Quick Meal Set,5.0,199.51,Cash,C017,49.88,947.67,750.0,247.55,"On January 25, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $199.51, totaling $997.55. The cost amount for this transaction was $750.00, with a tax amount of $49.88, leading to a total amount due of $947.67. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240125001,Administrative Expenses,2024-01-25,463.68,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 25, 2024, an invoice was issued for a Administrative Expenses, totaling $463.68. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240125025,Interest Receivables,2024-01-25,262.74,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 25, 2024, an invoice was issued for a Interest Receivables, totaling $262.74. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240126084,Sale,2024-01-26,6207.48,,,Paid,2000.0,,,,R002,Business Room,2.0,3103.74,Cash,C009,310.37,5897.11,4000.0,2207.48,"On January 26, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $3103.74, totaling $6207.48. The cost amount for this transaction was $4000.00, with a tax amount of $310.37, leading to a total amount due of $5897.11. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240126001,Sales Expenses,2024-01-26,790.94,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 26, 2024, an invoice was issued for a Sales Expenses, totaling $790.94. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240126001,Sales Expenses,2024-01-26,438.39,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,"On January 26, 2024, an invoice was issued for a Sales Expenses, totaling $438.39. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240126026,Interest Receivables,2024-01-26,262.74,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 26, 2024, an invoice was issued for a Interest Receivables, totaling $262.74. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
