id,type,date,recorded_date,amount,recorded_amount,approver,preparer,payment/receipt_status,cost_per_unit,payment_method,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit
Sale20240128090,Sale,2024-01-28,2024-01-28,6153.48,6153.48,,,Paid,1500.0,,,,R001,Standard Room,3.0,2051.16,Cash,C012,307.67,5845.81,4500.0,1653.4799999999996
Sale20240128091,Sale,2024-01-28,2024-01-28,8589.64,8589.64,,,Unpaid,1500.0,,,,R001,Standard Room,4.0,2147.41,Account Receviable,C017,429.48,8160.16,6000.0,2589.6399999999994
Expense20240128001,Sales Expenses,2024-01-28,2024-01-28,593.98,593.98,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240128028,Interest Receivables,2024-01-28,2024-01-28,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240129093,Sale,2024-01-29,2024-01-29,6303.45,6303.45,,,Paid,880.0,,,,F003,Deluxe Meal Set,5.0,1260.69,Cash,C004,315.17,5988.28,4400.0,1903.4499999999998
Sale20240129094,Sale,2024-01-29,2024-01-29,5792.12,5792.12,,,Paid,2000.0,,,,R002,Business Room,2.0,2896.06,Cash,C003,289.61,5502.51,4000.0,1792.12
Expense20240129001,Administrative Expenses,2024-01-29,2024-01-29,228.46,228.46,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Expense20240129001,Sales Expenses,2024-01-29,2024-01-29,212.96,212.96,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240129029,Interest Receivables,2024-01-29,2024-01-29,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240130096,Sale,2024-01-30,2024-01-30,1189.1,1189.1,,,Paid,350.0,,,,F002,Business Meal Set,2.0,594.55,Cash,C014,59.45,1129.65,700.0,489.0999999999999
Sale20240130097,Sale,2024-01-30,2024-01-30,10643.5,10643.5,,,Paid,1500.0,,,,R001,Standard Room,5.0,2128.7,Cash,C018,532.18,10111.32,7500.0,3143.5
Expense20240130001,Administrative Expenses,2024-01-30,2024-01-30,123.24,123.24,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Expense20240130001,Sales Expenses,2024-01-30,2024-01-30,864.48,864.48,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240130030,Interest Receivables,2024-01-30,2024-01-30,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240131099,Sale,2024-01-31,2024-01-31,3693.42,3693.42,,,Unpaid,880.0,,,,F003,Deluxe Meal Set,3.0,1231.14,Account Receviable,C016,184.67,3508.75,2640.0,1053.42
Sale20240131100,Sale,2024-01-31,2024-01-31,517.14,517.14,,,Unpaid,150.0,,,,F001,Quick Meal Set,2.0,258.57,Account Receviable,C017,25.86,491.28,300.0,217.14
Sale20240131101,Sale,2024-01-31,2024-01-31,9388.8,9388.8,,,Paid,1500.0,,,,R001,Standard Room,4.0,2347.2,Cash,C003,469.44,8919.36,6000.0,3388.7999999999993
Purchase20231231021,Purchase,2023-12-31,2023-12-31,334080.0,334080.0,Director,Supervisor,Paid,2880.0,Cash,S009,Supplier 9,F004,Banquet Set,116.0,2880.0,,,,,,
Expense20240131001,Financial Expenses,2024-01-31,2024-01-31,451.0,451.0,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240131031,Interest Receivables,2024-01-31,2024-01-31,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240201102,Sale,2024-02-01,2024-02-01,3569.46,3569.46,,,Paid,880.0,,,,F003,Deluxe Meal Set,3.0,1189.82,Cash,C015,178.47,3390.99,2640.0,929.46
Sale20240201103,Sale,2024-02-01,2024-02-01,463.4,463.4,,,Paid,350.0,,,,F002,Business Meal Set,1.0,463.4,Cash,C014,23.17,440.23,350.0,113.39999999999998
Expense20240201001,Administrative Expenses,2024-02-01,2024-02-01,231.23,231.23,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Expense20240201001,Sales Expenses,2024-02-01,2024-02-01,531.77,531.77,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Depreciation20240201002,Depreciation,2024-02-01,2024-02-01,45741.88,45741.88,,,,,,,,,,,,,,,,,
Interest20240201032,Interest Receivables,2024-02-01,2024-02-01,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240202105,Sale,2024-02-02,2024-02-02,9020.52,9020.52,,,Paid,2880.0,,,,F004,Banquet Set,2.0,4510.26,Cash,C018,451.03,8569.49,5760.0,3260.5200000000004
Sale20240202106,Sale,2024-02-02,2024-02-02,2997.25,2997.25,,,Paid,2000.0,,,,R002,Business Room,1.0,2997.25,Cash,C017,149.86,2847.39,2000.0,997.25
Expense20240202001,Administrative Expenses,2024-02-02,2024-02-02,857.74,857.74,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240202033,Interest Receivables,2024-02-02,2024-02-02,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240203107,Sale,2024-02-03,2024-02-03,4743.14,4743.14,,,Unpaid,1500.0,,,,R001,Standard Room,2.0,2371.57,Account Receviable,C015,237.16,4505.98,3000.0,1743.1400000000003
Sale20240203108,Sale,2024-02-03,2024-02-03,31835.68,31835.68,,,Unpaid,5000.0,,,,R003,Luxury Suite,4.0,7958.92,Account Receviable,C017,1591.78,30243.9,20000.0,11835.68
Purchase20231231022,Purchase,2023-12-31,2023-12-31,852480.0,852480.0,Director,Supervisor,Unpaid,2880.0,Account Payable,S003,Supplier 3,F004,Banquet Set,296.0,2880.0,,,,,,
Expense20240203001,Sales Expenses,2024-02-03,2024-02-03,578.63,578.63,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240203034,Interest Receivables,2024-02-03,2024-02-03,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240204110,Sale,2024-02-04,2024-02-04,3862.95,3862.95,,,Unpaid,880.0,,,,F003,Deluxe Meal Set,3.0,1287.65,Account Receviable,C010,193.15,3669.8,2640.0,1222.9499999999998
Expense20240204001,Financial Expenses,2024-02-04,2024-02-04,641.78,641.78,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240204035,Interest Receivables,2024-02-04,2024-02-04,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240205111,Sale,2024-02-05,2024-02-05,23634.9,23634.9,,,Paid,2880.0,,,,F004,Banquet Set,5.0,4726.98,Cash,C017,1181.75,22453.15,14400.0,9234.900000000001
Sale20240205112,Sale,2024-02-05,2024-02-05,461.85,461.85,,,Paid,350.0,,,,F002,Business Meal Set,1.0,461.85,Cash,C002,23.09,438.76,350.0,111.85000000000002
Expense20240205001,Sales Expenses,2024-02-05,2024-02-05,703.14,703.14,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Expense20240205001,Sales Expenses,2024-02-05,2024-02-05,991.65,991.65,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,
Interest20240205036,Interest Receivables,2024-02-05,2024-02-05,262.74135,262.74135,,,Unpaid,,,,,,,,,Interest receviable,,,,,
