id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_payment_method,recorded_cost_per_unit,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,asset_name,asset_type,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,invoice,risk_issues
Expense20240127001,Administrative Expenses,2024-01-27,10253.9,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 27, 2024, an invoice was issued for a Administrative Expenses, totaling $10253.90. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240127001,Financial Expenses,2024-01-27,74109.93,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 27, 2024, an invoice was issued for a Financial Expenses, totaling $74109.93. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240127027,Interest Receivables,2024-01-27,570.83,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 27, 2024, an invoice was issued for a Interest Receivables, totaling $570.83. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240128001,Sales Expenses,2024-01-28,42910.54,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 28, 2024, an invoice was issued for a Sales Expenses, totaling $42910.54. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240128001,Sales Expenses,2024-01-28,49551.38,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 28, 2024, an invoice was issued for a Sales Expenses, totaling $49551.38. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240128028,Interest Receivables,2024-01-28,570.83,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 28, 2024, an invoice was issued for a Interest Receivables, totaling $570.83. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Purchase20231231012,Purchase,2023-12-31,1500000.0,Director,Senior Staff,Paid,Bank Transfer,1500000.0,S009,Supplier 9,P004,Heavy Equipment D,1.0,1500000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $1500000.00, totaling $1500000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S009, and the supplier name is Supplier 9.",
Expense20240129001,Sales Expenses,2024-01-29,63370.0,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 29, 2024, an invoice was issued for a Sales Expenses, totaling $63370.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240129029,Interest Receivables,2024-01-29,437.33,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 29, 2024, an invoice was issued for a Interest Receivables, totaling $437.33. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240130031,Sale,2024-01-30,1492870.6,,,Paid,,1000000.0,,,P003,Heavy Equipment C,1.0,1492870.6,Cash,,,C002,74643.53,1418227.07,1000000.0,492870.6,"On January 30, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $1492870.60, totaling $1492870.60. The cost amount for this transaction was $1000000.00, with a tax amount of $74643.53, leading to a total amount due of $1418227.07. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240130001,Sales Expenses,2024-01-30,45613.09,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 30, 2024, an invoice was issued for a Sales Expenses, totaling $45613.09. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240130030,Interest Receivables,2024-01-30,437.33,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 30, 2024, an invoice was issued for a Interest Receivables, totaling $437.33. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240131033,Sale,2024-01-31,717864.25,,,Unpaid,,500000.0,,,P001,Heavy Equipment A,1.0,717864.25,Account Receviable,,,C020,35893.21,681971.04,500000.0,217864.25,"On January 31, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $717864.25, totaling $717864.25. The cost amount for this transaction was $500000.00, with a tax amount of $35893.21, leading to a total amount due of $681971.04. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240131001,Sales Expenses,2024-01-31,42688.86,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 31, 2024, an invoice was issued for a Sales Expenses, totaling $42688.86. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240131031,Interest Receivables,2024-01-31,437.33,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 31, 2024, an invoice was issued for a Interest Receivables, totaling $437.33. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,839853.83,,,Paid,Bank Transfer,,S001,Supplier 1,,,,,,Production Line Equipment5,Production Line Equipment,,,,,,"On December 31, 2023, an invoice was issued for a Fixed Assets Purchase, totaling $839853.83. The payment_method of this transaction was bank transfer, and this transaction was paid. The supplier ID is S001, and the supplier name is Supplier 1.",
Purchase20231231013,Purchase,2023-12-31,500000.0,Director,Senior Staff,Paid,Bank Transfer,500000.0,S009,Supplier 9,P001,Heavy Equipment A,1.0,500000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $500000.00, totaling $500000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S009, and the supplier name is Supplier 9.",
Purchase20231231014,Purchase,2023-12-31,1000000.0,Director,Senior Staff,Paid,Bank Transfer,1000000.0,S003,Supplier 3,P003,Heavy Equipment C,1.0,1000000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $1000000.00, totaling $1000000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S003, and the supplier name is Supplier 3.",
Expense20240201001,Administrative Expenses,2024-02-01,58370.92,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On February 01, 2024, an invoice was issued for a Administrative Expenses, totaling $58370.92. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240201001,Financial Expenses,2024-02-01,12261.8,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On February 01, 2024, an invoice was issued for a Financial Expenses, totaling $12261.80. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Depreciation20240201002,Depreciation,2024-02-01,60147.44,,,,,,,,,,,,,,,,,,,,"On February 01, 2024, an invoice was issued for a Depreciation, totaling $60147.44.",
Interest20240201032,Interest Receivables,2024-02-01,229.08,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On February 01, 2024, an invoice was issued for a Interest Receivables, totaling $229.08. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240202035,Sale,2024-02-02,660969.7,,,Unpaid,,500000.0,,,P001,Heavy Equipment A,1.0,660969.7,Account Receviable,,,C006,33048.49,627921.21,500000.0,160969.7,"On February 02, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $660969.70, totaling $660969.70. The cost amount for this transaction was $500000.00, with a tax amount of $33048.49, leading to a total amount due of $627921.21. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240202001,Sales Expenses,2024-02-02,31799.89,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On February 02, 2024, an invoice was issued for a Sales Expenses, totaling $31799.89. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240202033,Interest Receivables,2024-02-02,229.08,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On February 02, 2024, an invoice was issued for a Interest Receivables, totaling $229.08. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240203001,Sales Expenses,2024-02-03,22552.8,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On February 03, 2024, an invoice was issued for a Sales Expenses, totaling $22552.80. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240203034,Interest Receivables,2024-02-03,229.08,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On February 03, 2024, an invoice was issued for a Interest Receivables, totaling $229.08. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240204038,Sale,2024-03-03,2608771.62,,,Unpaid,,1500000.0,,,P004,Heavy Equipment D,1.0,2405193.0,Account Receviable,,,C020,2322475.53,2003755.19,1500000.0,609215.99,"On February 04, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $2109215.99, totaling $2109215.99. The cost amount for this transaction was $1500000.00, with a tax amount of $105460.80, leading to a total amount due of $2003755.19. The receive_method of this transaction was account receviable, and this transaction was unpaid.","[{'Original amount': 2109215.99, 'Recorded amount': 2608771.62, 'id': 'Sale20240204038'}, {'Original date': '2024-02-04', 'Recorded date': '2024-03-03', 'id': 'Sale20240204038'}, {'Original tax': 105460.8, 'Recorded tax': 2322475.53, 'id': 'Sale20240204038'}, {'Original price': 2109215.99, 'Recorded price': 2405193.0, 'id': 'Sale20240204038'}]"
Expense20240204001,Financial Expenses,2024-02-04,83123.11,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On February 04, 2024, an invoice was issued for a Financial Expenses, totaling $83123.11. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240204035,Interest Receivables,2024-02-04,229.08,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On February 04, 2024, an invoice was issued for a Interest Receivables, totaling $229.08. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240205001,Administrative Expenses,2024-02-05,25065.28,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On February 05, 2024, an invoice was issued for a Administrative Expenses, totaling $25065.28. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240205001,Administrative Expenses,2024-02-05,90539.15,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On February 05, 2024, an invoice was issued for a Administrative Expenses, totaling $90539.15. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240205036,Interest Receivables,2024-02-05,229.08,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On February 05, 2024, an invoice was issued for a Interest Receivables, totaling $229.08. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
