id,recorded_type,recorded_date,recorded_amount,recorded_cost_per_unit,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_payment_method,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,invoice,risk_issues
Expense20240127001,Financial Expenses,2024-01-27,78160.43,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,"On January 27, 2024, an invoice was issued for a Financial Expenses, totaling $78160.43. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240127001,Sales Expenses,2024-01-27,98414.82,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,"On January 27, 2024, an invoice was issued for a Sales Expenses, totaling $98414.82. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240127027,Interest Receivables,2024-01-27,275.9,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On January 27, 2024, an invoice was issued for a Interest Receivables, totaling $275.90. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240128001,Sales Expenses,2024-01-28,55250.84,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,"On January 28, 2024, an invoice was issued for a Sales Expenses, totaling $55250.84. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240128028,Interest Receivables,2024-01-28,275.9,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On January 28, 2024, an invoice was issued for a Interest Receivables, totaling $275.90. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240129001,Sales Expenses,2024-01-29,30839.26,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,"On January 29, 2024, an invoice was issued for a Sales Expenses, totaling $30839.26. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240129029,Interest Receivables,2024-01-29,275.9,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On January 29, 2024, an invoice was issued for a Interest Receivables, totaling $275.90. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Purchase20231231013,Purchase,2023-12-31,2000000.0,1000000.0,Director,Supervisor,Paid,Cash,S010,Supplier 10,P003,Heavy Equipment C,2.0,1000000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 2.0 units at a unit price of $1000000.00, totaling $2000000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S010, and the supplier name is Supplier 10.",
Transfer20240130001,Bank to cash transfer,2024-01-30,1000000.0,,,,,,,,,,,,,,,,,,"On January 30, 2024, an invoice was issued for a Bank to cash transfer, totaling $1000000.00.",
Expense20240130001,Financial Expenses,2024-01-30,69587.16,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,"On January 30, 2024, an invoice was issued for a Financial Expenses, totaling $69587.16. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240130030,Interest Receivables,2024-01-30,186.9,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On January 30, 2024, an invoice was issued for a Interest Receivables, totaling $186.90. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240131001,Administrative Expenses,2024-01-31,63215.67,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,"On January 31, 2024, an invoice was issued for a Administrative Expenses, totaling $63215.67. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240131001,Financial Expenses,2024-01-31,77099.29,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,"On January 31, 2024, an invoice was issued for a Financial Expenses, totaling $77099.29. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240131031,Interest Receivables,2024-01-31,186.9,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On January 31, 2024, an invoice was issued for a Interest Receivables, totaling $186.90. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Transfer20240201001,Bank to cash transfer,2024-02-01,1000000.0,,,,,,,,,,,,,,,,,,"On February 01, 2024, an invoice was issued for a Bank to cash transfer, totaling $1000000.00.",
Expense20240201001,Administrative Expenses,2024-02-01,74316.36,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,"On February 01, 2024, an invoice was issued for a Administrative Expenses, totaling $74316.36. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Depreciation20240201002,Depreciation,2024-02-01,45748.42,,,,,,,,,,,,,,,,,,"On February 01, 2024, an invoice was issued for a Depreciation, totaling $45748.42.",
Interest20240201032,Interest Receivables,2024-02-01,97.9,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On February 01, 2024, an invoice was issued for a Interest Receivables, totaling $97.90. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240202001,Sales Expenses,2024-02-02,60831.61,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,"On February 02, 2024, an invoice was issued for a Sales Expenses, totaling $60831.61. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240202001,Financial Expenses,2024-02-02,39264.18,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,"On February 02, 2024, an invoice was issued for a Financial Expenses, totaling $39264.18. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240202033,Interest Receivables,2024-02-02,97.9,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On February 02, 2024, an invoice was issued for a Interest Receivables, totaling $97.90. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240203001,Administrative Expenses,2024-02-03,63621.12,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,"On February 03, 2024, an invoice was issued for a Administrative Expenses, totaling $63621.12. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240203001,Sales Expenses,2024-02-03,86695.4,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,"On February 03, 2024, an invoice was issued for a Sales Expenses, totaling $86695.40. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240203034,Interest Receivables,2024-02-03,107.78,,,,Paid,,,,,,,,Interest receviable,,,,,,"On February 03, 2024, an invoice was issued for a Interest Receivables, totaling $97.90. The receive_method of this transaction was interest receviable, and this transaction was unpaid.","[{'Recorded payment/receipt_status': 'Paid', 'Original payment/receipt_status': 'Unpaid', 'id': 'Interest20240203034'}, {'Original amount': 97.9, 'Recorded amount': 107.78, 'id': 'Interest20240203034'}]"
Expense20240204001,Sales Expenses,2024-02-04,81361.47,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,"On February 04, 2024, an invoice was issued for a Sales Expenses, totaling $81361.47. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240204035,Interest Receivables,2024-02-04,97.9,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On February 04, 2024, an invoice was issued for a Interest Receivables, totaling $97.90. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Expense20240205001,Administrative Expenses,2024-02-05,27803.69,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,"On February 05, 2024, an invoice was issued for a Administrative Expenses, totaling $27803.69. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240205001,Financial Expenses,2024-02-05,30030.33,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,"On February 05, 2024, an invoice was issued for a Financial Expenses, totaling $30030.33. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240205036,Interest Receivables,2024-02-05,97.9,,,,Unpaid,,,,,,,,Interest receviable,,,,,,"On February 05, 2024, an invoice was issued for a Interest Receivables, totaling $97.90. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
