id,type,date,recorded_date,amount,recorded_amount,approver,preparer,payment/receipt_status,payment_method,cost_per_unit,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit
Sale20240126082,Sale,2024-01-26,2024-01-26,6344.9,6344.9,,,Paid,,880.0,,,F003,Deluxe Meal Set,5.0,1268.98,Cash,C005,317.25,6027.65,4400.0,1944.8999999999996
Sale20240126083,Sale,2024-01-26,2024-01-26,8393.83,8393.83,,,Paid,,5000.0,,,R003,Luxury Suite,1.0,8393.83,Cash,C017,419.69,7974.14,5000.0,3393.83
Sale20240126084,Sale,2024-01-26,2024-01-26,1400.57,1400.57,,,Paid,,880.0,,,F003,Deluxe Meal Set,1.0,1400.57,Cash,C006,70.03,1330.54,880.0,520.5699999999999
Purchase20231231024,Purchase,2023-12-31,2023-12-31,402000.0,402000.0,Director,Executive Director,Unpaid,Account Payable,1500.0,S006,Supplier 6,R001,Standard Room,268.0,1500.0,,,,,,
Expense20240126001,Financial Expenses,2024-01-26,2024-01-26,996.8,996.8,Director,Executive Director,Paid,Cash,,,,,,,,,,,,,
Interest20240126026,Interest Receivables,2024-01-26,2024-01-26,240.15670999999998,240.15670999999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240127085,Sale,2024-01-27,2024-01-27,6749.42,6749.42,,,Paid,,2000.0,,,R002,Business Room,2.0,3374.71,Cash,C006,337.47,6411.95,4000.0,2749.42
Sale20240127086,Sale,2024-01-27,2024-01-27,13838.55,13838.55,,,Paid,,2000.0,,,R002,Business Room,5.0,2767.71,Cash,C020,691.93,13146.62,10000.0,3838.5499999999993
Expense20240127001,Administrative Expenses,2024-01-27,2024-01-27,390.98,390.98,Director,Senior Supervisor,Paid,Cash,,,,,,,,,,,,,
Expense20240127001,Sales Expenses,2024-01-27,2024-01-27,141.49,141.49,Director,Executive Director,Paid,Cash,,,,,,,,,,,,,
Interest20240127027,Interest Receivables,2024-01-27,2024-01-27,240.15670999999998,240.15670999999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240128088,Sale,2024-01-28,2024-01-28,23080.35,23080.35,,,Unpaid,,2880.0,,,F004,Banquet Set,5.0,4616.07,Account Receviable,C005,1154.02,21926.33,14400.0,8680.349999999999
Sale20240128089,Sale,2024-01-28,2024-01-28,218.96,218.96,,,Paid,,150.0,,,F001,Quick Meal Set,1.0,218.96,Cash,C013,10.95,208.01,150.0,68.96000000000001
Expense20240128001,Sales Expenses,2024-01-28,2024-01-28,254.17,254.17,Director,Senior Manager,Paid,Cash,,,,,,,,,,,,,
Expense20240128001,Administrative Expenses,2024-01-28,2024-01-28,963.05,963.05,Director,Executive Director,Paid,Cash,,,,,,,,,,,,,
Interest20240128028,Interest Receivables,2024-01-28,2024-01-28,240.15670999999998,240.15670999999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240129091,Sale,2024-01-29,2024-01-29,16030.2,16030.2,,,Unpaid,,2880.0,,,F004,Banquet Set,4.0,4007.55,Account Receviable,C006,801.51,15228.69,11520.0,4510.200000000001
Sale20240129092,Sale,2024-01-29,2024-01-29,1779.78,1779.78,,,Paid,,350.0,,,F002,Business Meal Set,3.0,593.26,Cash,C003,88.99,1690.79,1050.0,729.78
Sale20240129093,Sale,2024-01-29,2024-01-29,30488.0,30488.0,,,Paid,,5000.0,,,R003,Luxury Suite,4.0,7622.0,Cash,C015,1524.4,28963.6,20000.0,10488.0
Expense20240129001,Administrative Expenses,2024-01-29,2024-01-29,627.15,627.15,Director,Senior Supervisor,Paid,Cash,,,,,,,,,,,,,
Expense20240129001,Administrative Expenses,2024-01-29,2024-01-29,568.28,568.28,Director,Senior Manager,Paid,Cash,,,,,,,,,,,,,
Interest20240129029,Interest Receivables,2024-01-29,2024-01-29,240.15670999999998,240.15670999999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240130094,Sale,2024-01-30,2024-01-30,220.75,220.75,,,Unpaid,,150.0,,,F001,Quick Meal Set,1.0,220.75,Account Receviable,C019,11.04,209.71,150.0,70.75
Sale20240130095,Sale,2024-01-30,2024-01-30,826.28,826.28,,,Unpaid,,150.0,,,F001,Quick Meal Set,4.0,206.57,Account Receviable,C005,41.31,784.97,600.0,226.27999999999997
Sale20240130096,Sale,2024-01-30,2024-01-30,215.04,215.04,,,Unpaid,,150.0,,,F001,Quick Meal Set,1.0,215.04,Account Receviable,C004,10.75,204.29,150.0,65.03999999999999
Expense20240130001,Administrative Expenses,2024-01-30,2024-01-30,999.53,999.53,Director,Executive Director,Paid,Cash,,,,,,,,,,,,,
Expense20240130001,Administrative Expenses,2024-01-30,2024-01-30,675.11,675.11,Director,Executive Director,Paid,Cash,,,,,,,,,,,,,
Interest20240130030,Interest Receivables,2024-01-30,2024-01-30,240.15670999999998,240.15670999999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240131097,Sale,2024-01-31,2024-01-31,10896.0,10896.0,,,Unpaid,,1500.0,,,R001,Standard Room,5.0,2179.2,Account Receviable,C009,544.8,10351.2,7500.0,3396.0
Sale20240131098,Sale,2024-01-31,2024-01-31,9026.82,9026.82,,,Unpaid,,2000.0,,,R002,Business Room,3.0,3008.94,Account Receviable,C014,451.34,8575.48,6000.0,3026.8199999999997
Sale20240131099,Sale,2024-01-31,2024-01-31,246.44,246.44,,,Paid,,150.0,,,F001,Quick Meal Set,1.0,246.44,Cash,C005,12.32,234.12,150.0,96.44
Sale20240131100,Sale,2024-01-31,2024-01-31,703.23,703.23,,,Paid,,150.0,,,F001,Quick Meal Set,3.0,234.41,Cash,C007,35.16,668.07,450.0,253.23000000000002
Expense20240131001,Administrative Expenses,2024-01-31,2024-01-31,912.23,912.23,Director,Executive Director,Paid,Cash,,,,,,,,,,,,,
Expense20240131001,Sales Expenses,2024-01-31,2024-01-31,354.57,354.57,Director,Executive Director,Paid,Cash,,,,,,,,,,,,,
Interest20240131031,Interest Receivables,2024-01-31,2024-01-31,240.15670999999998,240.15670999999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240201102,Sale,2024-02-01,2024-02-01,849.2,849.2,,,Paid,,150.0,,,F001,Quick Meal Set,4.0,212.3,Cash,C016,42.46,806.74,600.0,249.20000000000005
Sale20240201103,Sale,2024-02-01,2024-02-01,8016.54,8016.54,,,Paid,,2000.0,,,R002,Business Room,3.0,2672.18,Cash,C009,400.83,7615.71,6000.0,2016.54
Expense20240201001,Administrative Expenses,2024-02-01,2024-02-01,388.86,388.86,Director,Senior Manager,Paid,Cash,,,,,,,,,,,,,
Expense20240201001,Administrative Expenses,2024-02-01,2024-02-01,537.74,537.74,Director,Senior Supervisor,Paid,Cash,,,,,,,,,,,,,
Depreciation20240201002,Depreciation,2024-02-01,2024-02-01,45755.86,45755.86,,,,,,,,,,,,,,,,,
Interest20240201032,Interest Receivables,2024-02-01,2024-02-01,240.15670999999998,240.15670999999998,,,Unpaid,,,,,,,,,Interest receviable,,,,,
