id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_payment_method,recorded_cost_per_unit,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,asset_name,asset_type,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,invoice,risk_issues
Transfer20240114001,Cash to bank transfer,2024-01-14,100000.0,,,,,,,,,,,,,,,,,,,,"On January 14, 2024, an invoice was issued for a Cash to bank transfer, totaling $100000.00.",
Expense20240114001,Administrative Expenses,2024-01-14,16206.96,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 14, 2024, an invoice was issued for a Administrative Expenses, totaling $16206.96. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Transfer20240114001,Cash to bank transfer,2024-01-14,100000.0,,,,,,,,,,,,,,,,,,,,"On January 14, 2024, an invoice was issued for a Cash to bank transfer, totaling $100000.00.",
Expense20240114001,Administrative Expenses,2024-01-14,13631.77,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 14, 2024, an invoice was issued for a Administrative Expenses, totaling $13631.77. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Transfer20240114001,Cash to bank transfer,2024-01-14,100000.0,,,,,,,,,,,,,,,,,,,,"On January 14, 2024, an invoice was issued for a Cash to bank transfer, totaling $100000.00.",
Expense20240114001,Administrative Expenses,2024-01-14,41266.68,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 14, 2024, an invoice was issued for a Administrative Expenses, totaling $41266.68. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Transfer20240114001,Cash to bank transfer,2024-01-14,100000.0,,,,,,,,,,,,,,,,,,,,"On January 14, 2024, an invoice was issued for a Cash to bank transfer, totaling $100000.00.",
Expense20240114001,Sales Expenses,2024-01-14,36256.39,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 14, 2024, an invoice was issued for a Sales Expenses, totaling $36256.39. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240114014,Interest Receivables,2024-01-14,-31.83,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 14, 2024, an invoice was issued for a Interest Receivables, totaling $-31.83. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240115026,Sale,2024-01-15,23604.58,,,Unpaid,,10000.0,,,P001,Chemical Product A,2.0,11802.29,Account Receviable,,,C002,1180.23,22424.35,20000.0,3604.58,"On January 15, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $11802.29, totaling $23604.58. The cost amount for this transaction was $20000.00, with a tax amount of $1180.23, leading to a total amount due of $22424.35. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Transfer20240115001,Cash to bank transfer,2024-01-15,100000.0,,,,,,,,,,,,,,,,,,,,"On January 15, 2024, an invoice was issued for a Cash to bank transfer, totaling $100000.00.",
Transfer20240115001,Cash to bank transfer,2024-01-15,100000.0,,,,,,,,,,,,,,,,,,,,"On January 15, 2024, an invoice was issued for a Cash to bank transfer, totaling $100000.00.",
Transfer20240115001,Cash to bank transfer,2024-01-15,100000.0,,,,,,,,,,,,,,,,,,,,"On January 15, 2024, an invoice was issued for a Cash to bank transfer, totaling $100000.00.",
Expense20240115001,Sales Expenses,2024-01-15,26422.97,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 15, 2024, an invoice was issued for a Sales Expenses, totaling $26422.97. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Transfer20240115001,Cash to bank transfer,2024-01-15,100000.0,,,,,,,,,,,,,,,,,,,,"On January 15, 2024, an invoice was issued for a Cash to bank transfer, totaling $100000.00.",
Expense20240115001,Administrative Expenses,2024-01-15,8919.26,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 15, 2024, an invoice was issued for a Administrative Expenses, totaling $8919.26. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Transfer20240115001,Cash to bank transfer,2024-01-15,100000.0,,,,,,,,,,,,,,,,,,,,"On January 15, 2024, an invoice was issued for a Cash to bank transfer, totaling $100000.00.",
Expense20240115001,Administrative Expenses,2024-01-15,32256.58,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 15, 2024, an invoice was issued for a Administrative Expenses, totaling $32256.58. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240115015,Interest Receivables,2024-01-15,12.67,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 15, 2024, an invoice was issued for a Interest Receivables, totaling $12.67. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240116028,Sale,2024-01-16,27511.16,,,Unpaid,,10000.0,,,P001,Chemical Product A,2.0,13755.58,Account Receviable,,,C014,1375.56,26135.6,20000.0,7511.16,"On January 16, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $13755.58, totaling $27511.16. The cost amount for this transaction was $20000.00, with a tax amount of $1375.56, leading to a total amount due of $26135.60. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240116029,Sale,2024-01-16,41289.99,,,Unpaid,,10000.0,,,P001,Chemical Product A,3.0,13763.33,Account Receviable,,,C007,2064.5,39225.49,30000.0,11289.99,"On January 16, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $13763.33, totaling $41289.99. The cost amount for this transaction was $30000.00, with a tax amount of $2064.50, leading to a total amount due of $39225.49. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240116001,Sales Expenses,2024-01-16,7210.97,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 16, 2024, an invoice was issued for a Sales Expenses, totaling $7210.97. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240116001,Administrative Expenses,2024-01-16,43350.45,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 16, 2024, an invoice was issued for a Administrative Expenses, totaling $43350.45. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240116001,Sales Expenses,2024-01-16,8529.7,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 16, 2024, an invoice was issued for a Sales Expenses, totaling $8529.70. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240116016,Interest Receivables,2024-01-16,12.67,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 16, 2024, an invoice was issued for a Interest Receivables, totaling $12.67. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240117032,Sale,2024-01-17,47234.06,,,Unpaid,,20000.0,,,P002,Chemical Product B,2.0,23617.03,Account Receviable,,,C019,2361.7,44872.36,40000.0,7234.06,"On January 17, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $23617.03, totaling $47234.06. The cost amount for this transaction was $40000.00, with a tax amount of $2361.70, leading to a total amount due of $44872.36. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240117033,Sale,2024-01-17,198859.8,,,Unpaid,,50000.0,,,P003,Chemical Product C,3.0,66286.6,Account Receviable,,,C019,9942.99,188916.81,150000.0,48859.8,"On January 17, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $66286.60, totaling $198859.80. The cost amount for this transaction was $150000.00, with a tax amount of $9942.99, leading to a total amount due of $188916.81. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240117001,Administrative Expenses,2024-01-17,42802.24,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 17, 2024, an invoice was issued for a Administrative Expenses, totaling $42802.24. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240117001,Financial Expenses,2024-01-17,24605.62,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 17, 2024, an invoice was issued for a Financial Expenses, totaling $24605.62. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240117001,Administrative Expenses,2024-01-17,20175.3,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 17, 2024, an invoice was issued for a Administrative Expenses, totaling $20175.30. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240117001,Administrative Expenses,2024-01-17,24894.98,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 17, 2024, an invoice was issued for a Administrative Expenses, totaling $24894.98. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240117017,Interest Receivables,2024-01-17,12.67,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 17, 2024, an invoice was issued for a Interest Receivables, totaling $12.67. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240118034,Sale,2024-01-18,648623.6,,,Paid,,100000.0,,,P004,Chemical Product D,5.0,129724.72,Cash,,,C013,32431.18,616192.42,500000.0,148623.6,"On January 18, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $129724.72, totaling $648623.60. The cost amount for this transaction was $500000.00, with a tax amount of $32431.18, leading to a total amount due of $616192.42. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240118035,Sale,2024-01-18,68125.11,,,Unpaid,,20000.0,,,P002,Chemical Product B,3.0,22708.37,Account Receviable,,,C003,3406.26,64718.85,60000.0,8125.11,"On January 18, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $22708.37, totaling $68125.11. The cost amount for this transaction was $60000.00, with a tax amount of $3406.26, leading to a total amount due of $64718.85. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Purchase20231231008,Purchase,2023-12-31,120000.0,Director,Supervisor,Paid,Cash,10000.0,S001,Supplier 1,P001,Chemical Product A,12.0,10000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 12.0 units at a unit price of $10000.00, totaling $120000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S001, and the supplier name is Supplier 1.",
Expense20240118001,Administrative Expenses,2024-01-18,11870.08,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 18, 2024, an invoice was issued for a Administrative Expenses, totaling $11870.08. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240118001,Administrative Expenses,2024-01-18,17445.2,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 18, 2024, an invoice was issued for a Administrative Expenses, totaling $17445.20. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240118018,Interest Receivables,2024-01-18,12.67,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 18, 2024, an invoice was issued for a Interest Receivables, totaling $12.67. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240119036,Sale,2024-01-19,50199.88,,,Unpaid,,10000.0,,,P001,Chemical Product A,4.0,12549.97,Account Receviable,,,C011,2509.99,47689.89,40000.0,10199.88,"On January 19, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $12549.97, totaling $50199.88. The cost amount for this transaction was $40000.00, with a tax amount of $2509.99, leading to a total amount due of $47689.89. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240119001,Financial Expenses,2024-01-19,24962.22,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 19, 2024, an invoice was issued for a Financial Expenses, totaling $24962.22. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240119001,Sales Expenses,2024-01-19,30499.76,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 19, 2024, an invoice was issued for a Sales Expenses, totaling $30499.76. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240119001,Administrative Expenses,2024-01-19,17779.19,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 19, 2024, an invoice was issued for a Administrative Expenses, totaling $17779.19. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240119001,Administrative Expenses,2024-01-19,21687.75,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 19, 2024, an invoice was issued for a Administrative Expenses, totaling $21687.75. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240119019,Interest Receivables,2024-01-19,12.67,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 19, 2024, an invoice was issued for a Interest Receivables, totaling $12.67. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240120038,Sale,2024-01-20,68078.0,,,Paid,,10000.0,,,P001,Chemical Product A,5.0,13615.6,Cash,,,C004,3403.9,64674.1,50000.0,18078.0,"On January 20, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $13615.60, totaling $68078.00. The cost amount for this transaction was $50000.00, with a tax amount of $3403.90, leading to a total amount due of $64674.10. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240120039,Sale,2024-01-20,13128.95,,,Paid,,10000.0,,,P001,Chemical Product A,1.0,13128.95,Cash,,,C002,656.45,12472.5,10000.0,3128.95,"On January 20, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $13128.95, totaling $13128.95. The cost amount for this transaction was $10000.00, with a tax amount of $656.45, leading to a total amount due of $12472.50. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231009,Purchase,2023-12-31,140000.0,Director,Supervisor,Paid,Cash,10000.0,S002,Supplier 2,P001,Chemical Product A,14.0,10000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 14.0 units at a unit price of $10000.00, totaling $140000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S002, and the supplier name is Supplier 2.",
Expense20240120001,Financial Expenses,2024-01-20,42547.69,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 20, 2024, an invoice was issued for a Financial Expenses, totaling $42547.69. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240120001,Administrative Expenses,2024-01-20,9862.76,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 20, 2024, an invoice was issued for a Administrative Expenses, totaling $9862.76. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240120001,Administrative Expenses,2024-01-20,9640.73,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 20, 2024, an invoice was issued for a Administrative Expenses, totaling $9640.73. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240120020,Interest Receivables,2024-01-20,12.67,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 20, 2024, an invoice was issued for a Interest Receivables, totaling $12.67. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240121040,Sale,2024-01-21,414316.17,,,Unpaid,,100000.0,,,P004,Chemical Product D,3.0,138105.39,Account Receviable,,,C017,20715.81,393600.36,300000.0,114316.17,"On January 21, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $138105.39, totaling $414316.17. The cost amount for this transaction was $300000.00, with a tax amount of $20715.81, leading to a total amount due of $393600.36. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240121001,Financial Expenses,2024-01-21,28127.83,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 21, 2024, an invoice was issued for a Financial Expenses, totaling $28127.83. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240121001,Administrative Expenses,2024-01-21,17731.4,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 21, 2024, an invoice was issued for a Administrative Expenses, totaling $17731.40. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240121001,Administrative Expenses,2024-01-21,35581.51,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 21, 2024, an invoice was issued for a Administrative Expenses, totaling $35581.51. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240121001,Administrative Expenses,2024-01-21,36100.51,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 21, 2024, an invoice was issued for a Administrative Expenses, totaling $36100.51. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240121021,Interest Receivables,2024-01-21,12.67,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 21, 2024, an invoice was issued for a Interest Receivables, totaling $12.67. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240122041,Sale,2024-01-22,65902.3,,,Paid,,50000.0,,,P003,Chemical Product C,1.0,65902.3,Cash,,,C019,3295.12,62607.18,50000.0,15902.3,"On January 22, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $65902.30, totaling $65902.30. The cost amount for this transaction was $50000.00, with a tax amount of $3295.12, leading to a total amount due of $62607.18. The receive_method of this transaction was cash, and this transaction was paid.",
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,465186.81,,,Paid,Bank Transfer,,S010,Supplier 10,,,,,,Processing Equipment6,Processing Equipment,,,,,,"On December 31, 2023, an invoice was issued for a Fixed Assets Purchase, totaling $465186.81. The payment_method of this transaction was bank transfer, and this transaction was paid. The supplier ID is S010, and the supplier name is Supplier 10.",
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,432676.9,,,Paid,Bank Transfer,,S009,Supplier 9,,,,,,Chemical Production Line7,Chemical Production Line,,,,,,"On December 31, 2023, an invoice was issued for a Fixed Assets Purchase, totaling $432676.90. The payment_method of this transaction was bank transfer, and this transaction was paid. The supplier ID is S009, and the supplier name is Supplier 9.",
Transfer20240122001,Cash to bank transfer,2024-01-22,100000.0,,,,,,,,,,,,,,,,,,,,"On January 22, 2024, an invoice was issued for a Cash to bank transfer, totaling $100000.00.",
Transfer20240122001,Cash to bank transfer,2024-01-22,100000.0,,,,,,,,,,,,,,,,,,,,"On January 22, 2024, an invoice was issued for a Cash to bank transfer, totaling $100000.00.",
Expense20240122001,Sales Expenses,2024-01-22,7410.37,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 22, 2024, an invoice was issued for a Sales Expenses, totaling $7410.37. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Transfer20240122001,Cash to bank transfer,2024-01-22,100000.0,,,,,,,,,,,,,,,,,,,,"On January 22, 2024, an invoice was issued for a Cash to bank transfer, totaling $100000.00.",
Expense20240122001,Administrative Expenses,2024-01-22,41472.44,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 22, 2024, an invoice was issued for a Administrative Expenses, totaling $41472.44. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Transfer20240122001,Cash to bank transfer,2024-01-22,100000.0,,,,,,,,,,,,,,,,,,,,"On January 22, 2024, an invoice was issued for a Cash to bank transfer, totaling $100000.00.",
Expense20240122001,Administrative Expenses,2024-01-22,18657.15,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 22, 2024, an invoice was issued for a Administrative Expenses, totaling $18657.15. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240122022,Interest Receivables,2024-01-22,-31.64,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 22, 2024, an invoice was issued for a Interest Receivables, totaling $-31.64. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240123043,Sale,2024-01-23,269306.76,,,Paid,,50000.0,,,P003,Chemical Product C,4.0,67326.69,Cash,,,C003,13465.34,255841.42,200000.0,69306.76,"On January 23, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $67326.69, totaling $269306.76. The cost amount for this transaction was $200000.00, with a tax amount of $13465.34, leading to a total amount due of $255841.42. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240123044,Sale,2024-01-23,52567.84,,,Paid,,20000.0,,,P002,Chemical Product B,2.0,26283.92,Cash,,,C003,2628.39,49939.45,40000.0,12567.84,"On January 23, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $26283.92, totaling $52567.84. The cost amount for this transaction was $40000.00, with a tax amount of $2628.39, leading to a total amount due of $49939.45. The receive_method of this transaction was cash, and this transaction was paid.",
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,226268.11,,,Paid,Bank Transfer,,S008,Supplier 8,,,,,,Storage Facilities8,Storage Facilities,,,,,,"On December 31, 2023, an invoice was issued for a Fixed Assets Purchase, totaling $226268.11. The payment_method of this transaction was bank transfer, and this transaction was paid. The supplier ID is S008, and the supplier name is Supplier 8.",
Transfer20240123001,Cash to bank transfer,2024-01-23,100000.0,,,,,,,,,,,,,,,,,,,,"On January 23, 2024, an invoice was issued for a Cash to bank transfer, totaling $100000.00.",
Transfer20240123001,Cash to bank transfer,2024-01-23,100000.0,,,,,,,,,,,,,,,,,,,,"On January 23, 2024, an invoice was issued for a Cash to bank transfer, totaling $100000.00.",
Transfer20240123001,Cash to bank transfer,2024-01-23,100000.0,,,,,,,,,,,,,,,,,,,,"On January 23, 2024, an invoice was issued for a Cash to bank transfer, totaling $100000.00.",
Transfer20240123001,Cash to bank transfer,2024-01-23,100000.0,,,,,,,,,,,,,,,,,,,,"On January 23, 2024, an invoice was issued for a Cash to bank transfer, totaling $100000.00.",
Expense20240123001,Financial Expenses,2024-01-23,41123.52,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 23, 2024, an invoice was issued for a Financial Expenses, totaling $41123.52. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Transfer20240123001,Cash to bank transfer,2024-01-23,100000.0,,,,,,,,,,,,,,,,,,,,"On January 23, 2024, an invoice was issued for a Cash to bank transfer, totaling $100000.00.",
Expense20240123001,Sales Expenses,2024-01-23,9590.47,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 23, 2024, an invoice was issued for a Sales Expenses, totaling $9590.47. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240123023,Interest Receivables,2024-01-23,-7.28,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 23, 2024, an invoice was issued for a Interest Receivables, totaling $-7.28. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240124046,Sale,2024-01-24,685524.45,,,Unpaid,,100000.0,,,P004,Chemical Product D,5.0,137104.89,Account Receviable,,,C004,34276.22,651248.23,500000.0,185524.45,"On January 24, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $137104.89, totaling $685524.45. The cost amount for this transaction was $500000.00, with a tax amount of $34276.22, leading to a total amount due of $651248.23. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Transfer20240124001,Cash to bank transfer,2024-01-24,100000.0,,,,,,,,,,,,,,,,,,,,"On January 24, 2024, an invoice was issued for a Cash to bank transfer, totaling $100000.00.",
Transfer20240124001,Cash to bank transfer,2024-01-24,100000.0,,,,,,,,,,,,,,,,,,,,"On January 24, 2024, an invoice was issued for a Cash to bank transfer, totaling $100000.00.",
Expense20240124001,Financial Expenses,2024-01-24,25267.49,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 24, 2024, an invoice was issued for a Financial Expenses, totaling $25267.49. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240124001,Administrative Expenses,2024-01-24,5805.44,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 24, 2024, an invoice was issued for a Administrative Expenses, totaling $5805.44. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240124001,Financial Expenses,2024-01-24,23175.71,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 24, 2024, an invoice was issued for a Financial Expenses, totaling $23175.71. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240124024,Interest Receivables,2024-01-24,10.52,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 24, 2024, an invoice was issued for a Interest Receivables, totaling $10.52. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240125047,Sale,2024-01-25,243734.24,,,Paid,,100000.0,,,P004,Chemical Product D,2.0,121867.12,Cash,,,C017,12186.71,231547.53,200000.0,43734.24,"On January 25, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $121867.12, totaling $243734.24. The cost amount for this transaction was $200000.00, with a tax amount of $12186.71, leading to a total amount due of $231547.53. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240125001,Financial Expenses,2024-01-25,6391.42,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 25, 2024, an invoice was issued for a Financial Expenses, totaling $6391.42. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240125001,Administrative Expenses,2024-01-25,21505.59,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 25, 2024, an invoice was issued for a Administrative Expenses, totaling $21505.59. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240125025,Interest Receivables,2024-01-25,10.52,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 25, 2024, an invoice was issued for a Interest Receivables, totaling $10.52. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240126048,Sale,2024-01-26,11013.22,,,Unpaid,,10000.0,,,P001,Chemical Product A,1.0,11013.22,Account Receviable,,,C003,550.66,10462.56,10000.0,1013.22,"On January 26, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $11013.22, totaling $11013.22. The cost amount for this transaction was $10000.00, with a tax amount of $550.66, leading to a total amount due of $10462.56. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,423492.61,,,Paid,Bank Transfer,,S010,Supplier 10,,,,,,Processing Equipment9,Processing Equipment,,,,,,"On December 31, 2023, an invoice was issued for a Fixed Assets Purchase, totaling $423492.61. The payment_method of this transaction was bank transfer, and this transaction was paid. The supplier ID is S010, and the supplier name is Supplier 10.",
Transfer20240126001,Cash to bank transfer,2024-01-26,100000.0,,,,,,,,,,,,,,,,,,,,"On January 26, 2024, an invoice was issued for a Cash to bank transfer, totaling $100000.00.",
Transfer20240126001,Cash to bank transfer,2024-01-26,100000.0,,,,,,,,,,,,,,,,,,,,"On January 26, 2024, an invoice was issued for a Cash to bank transfer, totaling $100000.00.",
Transfer20240126001,Cash to bank transfer,2024-01-26,100000.0,,,,,,,,,,,,,,,,,,,,"On January 26, 2024, an invoice was issued for a Cash to bank transfer, totaling $100000.00.",
